Activity,Id_Leg,Checkin,Start,Dep,Arr,End,Checkout,Repouso Extra,Tempo Repouso Extra Diurno,Tempo Repouso Extra Noturno,Tempo Repouso Extra Especial Diurno,Tempo Repouso Extra Especial Noturno
AD2898,-F,03/01/2019 18:15,04/01/2019 01:23,CGB,SMT,04/01/2019 02:17,04/01/2019 02:47,0 days 11:38:00,0 days 03:13:00,0 days 08:25:00,0 days 00:00:00,0 days 00:00:00
LFA,-IF,05/01/2019 08:10,05/01/2019 08:10,VCP,VCP,05/01/2019 10:40,05/01/2019 11:10,0 days 01:45:00,0 days 00:00:00,0 days 01:45:00,0 days 00:00:00,0 days 00:00:00
AD6991,-F,09/01/2019 07:30,09/01/2019 15:06,SDU,CNF,09/01/2019 16:14,09/01/2019 16:44,0 days 04:56:00,0 days 03:40:00,0 days 01:16:00,0 days 00:00:00,0 days 00:00:00
AD4446,-F,10/01/2019 09:40,10/01/2019 15:33,GRU,BSB,10/01/2019 17:19,10/01/2019 17:49,0 days 01:31:00,0 days 01:20:00,0 days 00:11:00,0 days 00:00:00,0 days 00:00:00
AD9068,-F,11/01/2019 07:20,11/01/2019 14:34,GRU,BPS,11/01/2019 16:39,11/01/2019 17:09,0 days 00:51:00,0 days 00:00:00,0 days 00:51:00,0 days 00:00:00,0 days 00:51:00
AD4011,-F,12/01/2019 06:00,12/01/2019 08:59,SDU,VCP,12/01/2019 10:14,12/01/2019 10:44,0 days 01:31:00,0 days 00:00:00,0 days 01:31:00,0 days 00:00:00,0 days 00:00:00
SNA,-IF,NaT,NaT,VCP,VCP,NaT,NaT,0 days 03:11:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2898,-F,NaT,NaT,CGB,SMT,NaT,NaT,0 days 11:39:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
LFA,-IF,NaT,NaT,VCP,VCP,NaT,NaT,0 days 01:25:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD9105,-F,02/02/2019 00:35,02/02/2019 05:59,SLZ,VCP,02/02/2019 09:15,02/02/2019 09:45,0 days 03:10:00,0 days 00:00:00,0 days 03:10:00,0 days 00:00:00,0 days 03:10:00
SNA,-IF,06/02/2019 02:00,06/02/2019 02:00,VCP,VCP,07/02/2019 02:00,07/02/2019 02:30,0 days 05:25:00,0 days 03:30:00,0 days 01:55:00,0 days 00:00:00,0 days 00:00:00
AD5188,-F,07/02/2019 19:55,08/02/2019 01:25,VCP,JJG,08/02/2019 02:50,08/02/2019 03:20,0 days 16:00:00,0 days 04:00:00,0 days 12:00:00,0 days 00:00:00,0 days 00:00:00
AD4295,-F,09/02/2019 07:20,09/02/2019 14:32,CNF,VCP,09/02/2019 15:39,09/02/2019 16:09,0 days 01:36:00,0 days 00:00:00,0 days 01:36:00,0 days 00:00:00,0 days 00:00:00
SNA,-IF,NaT,NaT,VCP,VCP,NaT,NaT,0 days 05:05:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
