Activity,Id_Leg,Checkin,Checkout,Jornada
AD6422,-F,2019-05-08 07:40:00,2019-05-08 14:35:00,0 days 07:25:00
AD4986,-I,2019-05-09 05:35:00,2019-05-09 10:10:00,0 days 00:00:00
AD5280,-F,2019-05-09 05:35:00,2019-05-09 10:10:00,0 days 05:05:00
AD2458,-I,2019-05-09 22:50:00,2019-05-10 05:30:00,0 days 00:00:00
AD5703,-F,2019-05-09 22:50:00,2019-05-10 05:30:00,0 days 07:10:00
FR,-IF,2019-05-11 00:00:00,2019-05-12 00:00:00,1 days 00:30:00
SNA,-IF,2019-06-01 06:00:00,2019-06-01 23:59:00,0 days 18:29:00
RES,-IF,2019-06-02 03:01:00,2019-06-02 06:01:00,0 days 03:30:00
SNA,-IF,2019-06-03 00:01:00,2019-06-03 23:59:00,1 days 00:28:00
FR,-IF,2019-06-04 04:55:00,2019-06-05 04:55:00,1 days 00:30:00
SFX,-IF,2019-06-06 06:00:00,2019-06-06 10:00:00,0 days 04:30:00
SNA,-IF,2019-06-07 06:00:00,2019-06-07 23:59:00,0 days 18:29:00
S14,-IF,2019-06-08 14:00:00,2019-06-08 18:00:00,0 days 04:30:00
FR,-IF,2019-06-09 06:30:00,2019-06-10 06:30:00,1 days 00:30:00
